-1,"[('new', 0.01720336018755276), ('amp', 0.015139768847434286), ('water', 0.013535193413517676), ('day', 0.013519371375157971), ('world', 0.011931864291818634), ('today', 0.011199707874068248), ('future', 0.010274194729084548), ('innovation', 0.009773670691755817), ('business', 0.009754902340321598), ('year', 0.009668145771221355)]"
0,"[('cancer', 0.05710225488641437), ('health', 0.051144166318123345), ('patients', 0.044192862746899146), ('healthcare', 0.033379283139521806), ('disease', 0.031736808420493826), ('patient', 0.02748425255155337), ('care', 0.0266449323326715), ('treatment', 0.02430334653105156), ('help', 0.02170713004861427), ('people', 0.018806868628090324)]"
1,"[('mercedes', 0.14336767658229466), ('benz', 0.10300455791639317), ('combined', 0.06387367684148061), ('km', 0.061854044019309815), ('amg', 0.057003834413602766), ('bsocialcar', 0.055767331459620345), ('class', 0.04948462027171077), ('bmw', 0.04913184060516815), ('formula', 0.04073697436634396), ('consumption', 0.038530106888938986)]"
2,"[('cup', 0.055134113470062064), ('sport', 0.04865694869801069), ('game', 0.041817892919979956), ('sports', 0.04054829349604596), ('football', 0.040382232737916336), ('team', 0.03914134118796083), ('rugby', 0.03876504765269468), ('marathon', 0.03667807596293136), ('world', 0.029360011417163892), ('match', 0.024453789019933617)]"
3,"[('women', 0.15009120581354807), ('diversity', 0.07996758870937046), ('gender', 0.05847256611346434), ('equality', 0.04800237052923037), ('inclusion', 0.04059391981288388), ('pride', 0.03981290806366049), ('iwd', 0.03812441721005243), ('day', 0.03465852548654814), ('womens', 0.034483608377518106), ('female', 0.03083424864768288)]"
4,"[('results', 0.13294049497852486), ('ceo', 0.05878662355647593), ('year', 0.05183501371063032), ('quarter', 0.0451931237350082), ('annual', 0.04007096508583904), ('growth', 0.03926011540878571), ('financial', 0.0372181751392635), ('press', 0.03246932389829061), ('board', 0.03066593483271844), ('group', 0.029590657006377207)]"
5,"[('markets', 0.057604877304731274), ('news', 0.05274937105556468), ('market', 0.046410892631302395), ('trade', 0.04509295824681642), ('china', 0.0328650426872865), ('stock', 0.032692670644609755), ('economic', 0.030250190924680464), ('brexit', 0.026515785168586176), ('ubs', 0.02580747690296905), ('week', 0.02520121765966611)]"
6,"[('credit', 0.17505602210102691), ('chat', 0.13482202392683604), ('financial', 0.05858226272689776), ('money', 0.05119230195837718), ('pension', 0.041441160088135115), ('experian', 0.03808826419693044), ('retirement', 0.036353168346550134), ('tips', 0.03508834595701016), ('wedding', 0.03076784532905202), ('et', 0.029313059088645458)]"
7,"[('dm', 0.054199807277766215), ('hi', 0.049674592707393106), ('banking', 0.0481506556933086), ('bank', 0.03892250300858586), ('sorry', 0.037541831061359936), ('twitter', 0.031036564201153267), ('wirecard', 0.030819556405836033), ('card', 0.030666216145281238), ('payment', 0.02969164812228092), ('mobile', 0.02920266150108226)]"
8,"[('food', 0.057574429363109234), ('christmas', 0.038815493882919244), ('day', 0.02793516983339098), ('amp', 0.026396889298111438), ('good', 0.024118043207996178), ('happy', 0.02320297892871892), ('chocolate', 0.02118912756889062), ('morning', 0.021019737401835423), ('new', 0.01879100106785205), ('team', 0.01706288950623536)]"
9,"[('dior', 0.11540465493612426), ('burberry', 0.08118474058810854), ('collection', 0.07839583456322217), ('hm', 0.07135779753493852), ('new', 0.049145617472316445), ('summer', 0.0404367805998469), ('grazia', 0.033715644023149874), ('discover', 0.03362711833191406), ('chiuri', 0.03340969599517368), ('spring', 0.03294509450793762)]"
10,"[('airport', 0.047592513090307015), ('flight', 0.04751248142673685), ('travel', 0.03645908496661511), ('art', 0.025091571208349008), ('sanpaolo', 0.024442696288615992), ('intesa', 0.024152966531395363), ('flights', 0.023665956615977847), ('amadeus', 0.02362069885916444), ('ryanair', 0.02233275864751011), ('new', 0.019243631471918828)]"
11,"[('cloud', 0.07250510648049711), ('sap', 0.06985944039753572), ('micro', 0.0693749945470609), ('focus', 0.06334930867069678), ('cyber', 0.06119862160430291), ('security', 0.050500049223110494), ('data', 0.045734228176556736), ('cybersecurity', 0.04318756416838591), ('learn', 0.03098055329758787), ('gdpr', 0.029732311658798995)]"
12,"[('mobility', 0.10472333428269262), ('electric', 0.063894306182699), ('car', 0.055627608189963186), ('vehicles', 0.04237014382906445), ('cars', 0.042156699113537865), ('driving', 0.04097722639923792), ('autonomous', 0.040399074870435606), ('charging', 0.03999818421044029), ('automotive', 0.034163324022417015), ('vehicle', 0.03402483988731167)]"
13,"[('energy', 0.08454004693851622), ('climate', 0.05200878942156047), ('sustainability', 0.03209942020142444), ('sustainable', 0.026383733181608568), ('change', 0.026376725616830132), ('gas', 0.0259573981369485), ('wind', 0.025534030144985724), ('renewable', 0.024209727070433312), ('power', 0.022995770503962915), ('carbon', 0.02298877843773912)]"
14,"[('ai', 0.1226198862549881), ('data', 0.06831890833303347), ('intelligence', 0.053644711023431775), ('artificial', 0.04766348465767341), ('automation', 0.03374510599285468), ('customer', 0.03282170175339214), ('learn', 0.026039548438729198), ('machine', 0.02524533620404449), ('learning', 0.024228759626811112), ('big', 0.023637105862059776)]"
15,"[('digital', 0.05306378300733749), ('innovation', 0.028878584882145595), ('io', 0.028539338837997055), ('transformation', 0.0258210443336683), ('new', 0.0221146066435722), ('mwc', 0.02058558428004433), ('ericsson', 0.01983350539903627), ('join', 0.019191349906178955), ('network', 0.018289909614116077), ('job', 0.01701022636654763)]"
